part,Description,qty,
C0603C475M8PACTU,,134,
C0603C106M8PAC7867,,130,
CGA3E3X5R1H684M080AB,,142,
GRM21BC72A105KE01L,,96,
GCM31CR71E475KA55K,,92,
EMZA500ADA470MF80G,,42,
EMZR500ARA101MF80G,,42,
GRM21BR60J107ME15L,,1100,
"JMK212BBJ476MG-T
",,1150,
GRM155C80J106ME11D,,1100,
02016D105MAT2A,,1800,
GRM188R61E105KAADD,,750,
GRM035R60J475ME15D,,2400,
GRM033R71A103KA01D,,10000,
CL05A475MO5NUNC,,250,
04026D475MAT2A,,700,
GRM033R70J332KA01D,,750,
GRM21BR61E226ME44K,,50,
GRM32EC81C476KE15L,,650,
C1005X5R1E104K050BC,,120,
FH33-6S-0.5SH(10),,37,
LQP15MN6N8B02D,,130,
VLS252010T-1R0N,,18,
FBMH3216HM221NT,,140,
MPZ2012S102ATD25,,150,
MPZ1608S601ATA00,,100,
742792040,,42,
B59623A90A62,,20,
RC1005J100CS,,4400,
CRCW04021R00FKED,,250,
CRCW040211K0FKED,,750,
CRCW040245K3FKED,,380,
RC0201FR-07100RL,,2200,
RC0201FR-078K87L,,192,
ERJ-1GEF6981C,,80,
ERJ-3EKF1472V,,80,
ERJ-1GNF1022C,,90,
ERJ-1GEF6341C,,90,
RC0603J103CS,,450,
RC0402FR-07232KL,,800,
RMCF0603JT10M0,,140,
RC0201JR-072K4L,,650,
TNPW040244K2BEED,,90,
ERJ-1GEF2400C,,50,
ERJ-1RHD1003C,,800,
ERJ-2GE0R00X,,190,
ERJ-1GEF5101C,,190,
TPS22922YFPR,,45,
MIC6315-31D4UY TR,,140,
MIC23156-0YML T5,,100,
5025700893,,2,
LMZ21700SILT,,3,
74AXP1T125GSH,,100,
TLV3501AIDBVT,,5,
ASFLMPLV-148.500MHZ-LR-T,,30,
LMH0303SQE/NOPB,,140,
XCL210C181GR-G,,36,
SN74AVC4T245RSVR,,32,
"74AUP1T34GM,115",,120,
"74AVC1T45GS,132",,90,
RC0201FR-0734R8L,,300,
RC0201FR-0748R7L,,300,
RC0201FR-0740R2L,,300,
ADM2582EBRWZR7,,15,
53047-0410,,1,
13R222C,,1,
BSZ340N08NS3G,,5,
EEU-ED2D101,,3,
DF40C(2.0)-40DS-0.4V(51),,1,
EN3P6MRAPCX,,1,
ERJ-14Y,,4,
3403.0277.11,,1,
ERJ-3EKF1001V,,237,
RC6432J000CS,,45,
35221R0JT,,14,
ERJ-3EKF1000V,,212,
MCP4562-103E/MS,,4,
ERJ-3EKF3001V,,200,
B2GA331KYNA,,3,
C0805C106K3PAC7800,,60,
UPM1E821MHD6TN,,1,
5.0SMDJ150A,,5,
3360C-1-502LF,,1,
UPW1E152MHD,,1,
ERJ-3EKF1003V,,112,
ERJ-3EKF1501V,,158,
UCZ1K220MCL1GS,,25,
UZS1E330MCL1GB,,25,
LMZ14203HTZX/NOPB,,1,
SML-D12M8WT86,,89,
IHLP2020CZER3R3 M01,,5,
MM3Z5V6C,,18,
"PMEG3050EP,115",,47,
DB2J31400L,,10,
1123684-7,,5,
1727010,,2,
ERJ-3EKF1503V,,170,
ERJ-3EKF2201V,,170,
ERJ-3EKF3602V,,182,
ERJ-3EKF3743V,,170,
ERJ-3EKF5361V,,170,
ERJ-3EKF7502V,,72,
KRL1632E-M-R007-G-T5,,52,
TMK107B7105KA-T,,150,
GRM188R71E474KA12D,,120,
C0603C223K5RACTU,,170,
C0603C472K5RACTU,,170,
GRM219R6YA475MA73D,,174,
C1210C226M3RACTU,,7,
SN74LVC1T45DCKT,,20,
ERJ-2RKF2433X,,9430,
ERJ-2RKF4990X,,183,
GD25Q80CEIGR,,15,
SST25PF020B-80-4C-Q3AE-T,,14,
RT7239GSP,,84,
TPS82084SILR,,3,
SIT9121AI-1C1-XXE156.250000Y,,15,
TLC7733IDR,,16,
TSX-3225 25.0000MF18X-G0,,40,
3412.0124.22,,15,
SMAJ12A,,95,
IHLP2020CZER1R5M01,,35,
IHLP2020CZER2R2M01,,21,
IN-S42BT5G,,22,
IN-S42BT5Y,,120,
IN-S42BTR,,140,
ACML-0402HC-301-T,,40,
MPZ1608S101ATAH0,,176,
MI0603L301R-10,,130,
BLM18SG221TN1D,,26,
MPZ1608S300ATAH0,,140,
ERF5-060-05.0-L-DV-K-TR,,2,
C0402C224K9PAC7867,,140,
CC0402KRX5R6BB824,,190,
C0402C120K4GAC7867,,180,
C0402C220J3GACTU,,90,
CL05A226MQ5N6J8,,30,
C0402C270J3GAC7867,,180,
C0402C335M7PACTU,,40,
C0402C392K4RAC7867,,180,
GRM188R61C106KAALD,,165,
ERJ-2RKF1021X,,190,
ERJ-2RKF1073X,,180,
ERJ-2RKF1372X,,190,
ERJ-2RKF1500X,,190,
ERJ-2RKF1623X,,100,
ERJ-2RKF2053X,,180,
ERJ-2RKF2152X,,185,
ERJ-2RKF2212X,,180,
ERJ-2RKF2742X,,190,
ERJ-2RKF3301X,,180,
ERJ-2RKF3483X,,180,
ERJ-2RKF4531X,,180,
ERJ-2RKF4991X,,188,
ERJ-2RKF4022X,,180,
ERJ-2RKF4122X,,180,
ERJ-2RKF4752X,,218,
ERJ-2RKF5103X,,180,
ERJ-2RKF6041X,,160,
ERJ-2RKF6800X,,180,
HLS-000200-B-10 REV B,,1,
ERJ-1GEF1000C,,14404,
CL32A227MQVNNNE,,5,
C0805C475K3PACTU,,2397,
1808HC102KAT1A,,3886,
C0603C104K5RACTU,,254,
C0603C106M9PACTU,,8,
C0805C472KCRAC7800,,4,
C0402C475M7PACTU,,220,
C2012X5R1C226K125AC,,1000,
M50-34,,50,
EEE-FK1C470UR,,50,
GRM0335C1E470JA01D,,196,
C3216X5R1E476M160AC,,2000,
GRM21BR60G107ME15L,,59,
CL05A106MR5NRNC,,700,
T520B337M2R5ATE045,,9,
"PESD5V0U1UA,115",,150,
GRM188R60G476ME15D,,5,
XCL206B183CR-G,,25,
RC0201FR-071K6L,,200,
C1005X5R0J104K050BA,,200,
C2012X7R2A104K,,154,
C2012X7R2A102K,,118,
GRM155R61E105MA12D,,140,
GRM188R6YA106MA73D,,4,
C3216X5R1C476M160AB,,18,
C2012X5R1V226M125AC,,40,
TAJE227K016RNJ,,8,
RC0402FR-0725K5L,,168,
RC0402FR-0721K5L,,168,
GRM188R61A226ME15D,,175,
CC0201KRX7R8BB471,,75,
MIC5219-5.0YM5-TR,,5,
RC0603JR-070RL,,50,
GRM033R60J104KE19D,,50,
C1005X7R1H104K050BB,,400,
EEE-FK1J220XP,,55,
C1608X7R1E105K080AB,,40,
C5750X7S2A106M230KB,,4,
CIM10J601NC,,5100,
GCM188R71H104KA57D,,550,
CC0603MRX5R6BB226,,380,
CL10A475KO8NNNC,,330,
02016D104KAT2A,,1700,
GRM32EC72A106KE05L,,200,
C1608X5R1A106K080AC,,50,
ULD2D5R6MED1TD,,374,
CRCW040260K4FKED,,775,
GRM31CR61H106KA12L,,17,
RC0201FR-0710RL,,850,
ERJ-1GEF8871C,,200,
CRCW02011K00FNED,,250,
TAJE337M016RNJ,,94,
MT48LC8M16A2,,20,
PL130-07QC,,6,
B82498F3569K,,8,
RK73H1ET-F,,45,
74AXP1T125GMH,,20,
GRM155R60J106ME15D,,190,
ERJ-2RKF5900X,,240,
ERJ-2RKF1002X,,180,
C0402C103K4RACTU,,200,
C0402C225K9PAC7867,,236,
DF40C-60DP-0.4V(51),,6,
C0402C475M9PAC7867,,190,
DF40HC(3.0)-40DS-0.4V(51),,6,
C0402C105K9PACTU,,200,
10M02SCM153I7G,,1,
SIT1602AI-12-33E-40.000000G,,40,
MCF51QM128VHS,,1,
BTE-020-01-F-D-A-K,,4,
PJ-056,,96,
FTS-105-03-L-D,,1,
1775862-2,,9,
LSS-120-01-F-DV-A-TR used,,30,
BM22L-4P-V(53),,14,
PEC06DAAN,,15,
U.FL-R-SMT(10),,40,
HLS-000030-B-10,,2,
DF3-2S-2C,,490,
22-12-2044,,157,
ASFLMPLV-148.3516MHZ-LY-T,,1,
PD-40VS,,6,
SS-7188VS-A-NF-50,,39,
SSW-103-01-G-S,,38,
BM22-6S-V(53),,1,
591D108X96R3R2T20H,,1,
CL03A105MP3NSNC,,25,
GRM31CR60G227ME11L,,34,
KAS2108ET,,2,
2060-452/998,,20,
CCS-188993-02-CN,,9,
LXDC3EP12A-104,,442,
LXDC3EP25A-109,,3,
LXDC3EP33A-107,,3,
0555-0-15-15-20-27-10-0,,500,
MUSBRM1C130,,9,
MUSBRM5C130,,2,
M2013LL1G03,,22,
1000-345F-0357-01A1,,5,
LXDC55KAAA-205,,86,
518-77-478M26-131106,,2,
JT7-1104NL,,17,
JTAG-HS3,,3,
034-1018-12G,,37,
034-1030,,17,
89990-0007,,8,
HW-USB-FLYLEADS-G,,4,
15-24-6060,,88,
7443340220,,110,
5-1634516-5,,5,
10-16-14A-209-281UM-R27-L14,,25,
C13085_MIRELLA-50-S-PF,,85,
CN11770_IRIS,,246,
Alysiu Rj45 Cables,,10,
ADUM5242ARZ-RL7,,16,
AD7415ARTZ-1500RL7,,593,
TPS73225DBVT,,258,
NC7WZ17P6X,,1034,
TPS73218DBVT,,6,
QPI-5LZ-01,,1,
A1080A,,7,
XCKU035-1FBVA900CES9919,,1,
XC7K160T-2FFG676I,,1,
LTC2620IGN#PBF,,77,
88E1512-A0-NNP2I000,,93,
88X3220PA0-BTH4C000,,46,
10M08DAF256C8G,,23,
XC7K410T-2FFG676I reballed,,4,
BCM53162XMB1ILFBG,,9,
PI3EQX16904GLZHEX,,10,
MT40A256M16LY-062E,,352,
MT25QU02GCBB8E12-0SIT,,392,
SL28PCIE14ALI,,65,
XCKU060-1FFVA1156I ,,10,
LT3080EDD#TRPBF,,15,
LTM4644IY#PBF,,316,
MT25QL02GCBB8E12-0SIT,,71,
MT25QL512ABB1EW9-0SIT,,192,
MT52L1G32D4PG-107WT:B,,530,
IMX420LQJ-C,,25,
IMX421LQJ-C,,25,
LMH0340SQ/NOPB,,16,
NBM2317S60E1560T0R,,3,
R-78B5.0-1.5L,,2,
XC5VLX330-1FFG1760,,2,
511BCA100M000BAG,,5,
88E1543-A1-LKJ2C000,,10,
BCM53161XUB1KLFBG,,5,
EEF-UE0G331R,,100,
MT52L1G32D4PG-107WT:B (new batch),,500,
XC7A100T-3CSG324E,,3,
TMM-118-02-L-S,,5,
TMM-105-02-L-S,,8,
SMAJ58CA,,22,
ECS-P73-74.250-B,,85,
LP38692SD-1. 8/NOPB,,9,
ERJ-3EKF 1002V,,24,
U.FL-R-SMT-1(10),,7,
ASEMPC-25.000MHZ-R-T,,8,
CONMICFEM38SMT,,5,
ATS-P1-25-C2-R0,,1,
ATS-H1-28-C2-R0,,1,
HA60251V4-1000U-A99,,2,
ATS-1H-30-C2-R0,,1,
ATS-CPX060060025-132-C2-R0,,1,
NA40201V4-000U-999,,2,
ATS-P2-23-C2-R0,,1,
QMS-026-09.75-SL-D-A,,10,
QFS-026-04.25-L-D-A,,10,
BPZ456-1230-26AA01,,6,
RS9110-N-11-28-04,,4,
598-8810-307F,,30,
XHP70B-00-0000-0D0BP20E2CT-ND,,7,
XHP70A-01-0000-0D0BN20E1,,1,
SMP4-SRGB,,17,
SML-A12V8TT86,,140,
LNJ024X4ARA,,561,
CLV1A-FKB-CJ1M1F1BB7R4S3,,9,
FW-05-02-L-D-340-140,,11,
EEU-FR1J271UB,,196,
SSW-104-01-G-S,,31,
TSW-103-14-G-S,,38,
TSW-104-14-G-S,,158,
PLP1-375-F,,28,
0458005.DR,,6,
ESD9L5.0ST5G,,38,
CGA9P3X7S2A156M250KB,,30,
BM22-4S-V(53),,13,
SFMC-107-01-L-D-K,,3,
1417-0219,,14,
XPLAWT-00-0000-0000V5051,,18,
ECG.2B.308.CLN,,84,
ECG.2B.316.CLN,,56,
ECG.0B.302.CLV,,5,
ECG.2B.318.CLN,,4,
ECG.1B.304.CLN,,23,
PEN.2M.319.XLMT,,1,
EGA.2B.316.CLL,,1,
EGN.0M.304.XLM,,1,
ECG.1B.314.CLV,,10,
12107C472KAT2A,,8,
RC0603FR-07100KL,,239,
BTS50085-1TMA,,3,
DF3-3P-2DSA(01),,21,
DF3-4P-2DSA(01),,9,
SFML-107-01-S-D,,4,
1417-9210,,18,
336309-12-0100,,9,
1N4733AW-TP,,3006,
MLK1005S27NJ,,3,
3SMAJ5919B-TP,,9,
CDBA140-G,,5,
C0603C103K5RACTU,,341,
IHLP2020CZER3R3M01,,17,
TFM-107-01-S-D,,35,
74435580820,,4,
ASP-188588-01,,1,
KE3494,,5,
FH19C-4S-0.5SH,,9,
BQ34Z100PWR-G1,,4,
SI2308BDS-T1-GE3,,39,
OPA2337EA/250,,16,392
STL10N3LLH5,,28,
298D107X06R3P2T,,50,
VLS252015ET-100M,,9,
PL130-07AQC,,101,
ERJ-2RKF7501X,,50,
527451097,,16,
KMR211GLFS,,3,
MT29F4G08ABBDAHC-IT:D,,1,
MC9S08SH32CT J-ND,,2,
MAX17005BETP+T,,1,
380-10-164-00-001000,,4,
D38999/26WB35PN,,1,
D38999/26WA98SN,,1,
AF-0.5(H)-B,,100,
ZXTN19100CFFTA,,10,
5.0SMDJ18A,,10,
5025700893,,10,
N18-31,,2,
734154490,,25,
3403.0171.24,,30,
LQM32PN1R0MG0L,,27,
ERJ-1RHD6042C,,590,
VSSA210-E3/61T,,120,
EEE-FT1H220AR,,100,
02016D223KAT2A,,27,
MCP4661-103E/ST-ND,,25,
761K,,9,
TPME158K002R0015,,37,
SML-A12BC7TT86,,70,
GRM188R61E105KA12D,,10,
T491V106K035AT,,25,
NTK3134NT1G,,9,
BLM18PG181SN1D,,90,
SMAJ40A,,695,
NCP21XV103J03RA,,79,
A-03 325-01,,43,
0458007.DR,,40,
74279252,,3,
C3216JB0J107M160AB,,1550,
DDTC114ECA-7-F,,1550,
DO3314-222MLC,,52,
IHLP6767GZER470M11,,5,
LM3409HVMY/NOPB,,87,
MBR0580-TP,,35,
TH1.6- 3.0-M2,,84,
TH1.6- 4.0-M2,,134,
TH-1.6-5.0-M2,,34,
TH-1.6-2.0-M2B,,100,
V10P10-M3/86A,,37,
112515-75,,1,
AD5311BRTZ-REEL7,,25,
04026D226MAT2A,,75,
CRCW040230K0FKED,,833,
SI52147A01A-GM,,3,
DSC557-0334F11,,5,
LTST-C191KRKT ,,7,
LTST-C191KGKT,,97,
SFH-1212B,,15,
SRN4018-2R2M,,27,
A3967SLBTR-T,,10,
B59707A120A62,,2,
74279228111,,410,
GRM033R60J104KE19D,,60,
EMK325ABJ107MM-T,,8,
ADA4891-1ARJZ-R7,,6,
RF179-72SP1-74BJ2-0130 ,,3,
RF179-72SP1-74BJ3-0140 ,,3,
RF179-72SP1-74BJ3-0160 ,,3,
ECS-240-S-4,,10,
1N4678BK,,1,
SL102G12,,2,
UF3H3-710,,10,
D3SH-A1R1,,4,
MLT022Q39-R1,,4,
HLG-600H-36A,,3,
ERA-2AED242X,,16020,
ERJ-1GEF49R9C,,250,
ERJ-2GEJ750X,,80,
ERJ-2RKF7500X,,9680,
ERJ-3GEYJ101V,,8258,
CRCW08050000Z0EA,,9730,
ERJ-3EKF1002V,,376,
ERJ-3EKF4300V,,4587,
ERJ-3EKF5101V,,4869,
ERJ-3GEY0R00V,,3834,
ERJ-3EKF4992V,,4,
MCR25JZHJ000,,2,
ERJ-3GEYJ391V,,300,
RC0402FR-0712K4L,,250,
ADG819BRMZ,,16,
CRA2512-FZ-R040ELF,,15,
CRCW08050000Z0EAHP,,32,
ERJ-1GEF3300C,,14476,
ERJ-3EKF5100V,,4856,
ERJ-P06J181V,,3496,
P82B715TD,,12,
ERJ-3EKF5491V,,250,
GRM188R60J226MEA0J,,210,
FDMS86201         ,,36,
MSQA6V1W5T2G,,132,
CPF0402B90K9E1,,250,
ERJ-1GEJ241C,,14734,
ERJ-2GEJ102X,,9996,
ERJ-2RKF1000X,,250,
ERA-3AEB513V,,15,
ERJ-1GEF3000C,,346,
ERJ-3EKF1023V,,15,
ERJ-3EKF1023V,,320,
ERJ-1GEJ102C,,150,
RC0201FR-07523KL,,250,
Mushkin 126 GB SSD,,1,
Kingston 240GB,,1,
Intel SSDSC2BB240G401 240GB 2.5-inch 6Gb/s SATA SSD,,1,
B00DYQYLQQ,,4,
INDUSTRIAL COMPACT FLASH CARD,,1,
MZHPV512HDGL,,2,
EXPI9301CTBLK,,1,
Kingston 64GB,,1,
LQH2HPZ1R0NJRL,,150,
TNPW04025K36BEED,,200,
MCS0402MD2492BE100,,200,
530AC114M285DG,,55,
XCKU040-1SFVA784I,,50,
IPT1-110-01-L-D-VS,,10,
IPS1-110-01-L-D-VS,,10,
SQT-110-01-L-D,,5,
SMM-105-01-S-D,,10,
HM7142NL,,31,
MIC5201-5.0YM,,18,
SFM-107-01-L-D,,67,
PCIE-098-02-F-D-TH,,55,
MAX16834AUP+,,41,
SFMC-105-01-L-D-K,,6,
PCIE-098-02-F-D-TH,,55,
SN74AC14PW,,102,
DF3Z-2P-2H(50),,75,
J00-0065NL,,28,
DF13-2P-1.25DS(50),,360,
SFMC-105-02-L-D,,81,
NPPN061FGGN-RC,,20,
TFM-110-01-L-S-RA,,3,
FTSH-105-01-F-D,,2,
SFM-110-01-L-S-A,,7,
ERJ-6ENF6200V,,196,
CL05A104KA5NNNC,,226,
TMK107BJ105KA-T,,3776,
C2012X5R1V156M125AC,,47,
GRM0335C1E470JA01D,,76,
GRM033R71E102KA01D,,422,
AMK325ABJ337MM-T,,98,
GRM188R61A226ME15D,,202,
ERJ-2RKF3012X,,242,
ERJ-2RKF8251X,,242,
ERJ-2RKF6042X,,242,
ERJ-3RQF1R0V,,4936,
RC0603FR-071K1L,,426,
RC0603FR-0710KL,,242,
RC0603FR-0729K4L,,242,
ERJ-2GEJ301X,,8280,
RC0603FR-0768KL,,242,
RC0603FR-07332KL,,242,
RC0402FR-0713K3L,,242,
RC0402FR-0719K1L,,242,
RC0603FR-07100KL,,196,
RC0402FR-0740K2L,,242,
RC0402FR-0745K3L,,242,
RC0402FR-07180KL,,242,
RC0402FR-0726K1L,,176,
DRV8836DSSR,,6,
LTC4358IDE#TRPBF,,3,
LTM4622IY#PBF,,2,
LTM4644IY#PBF,,146,
B340A-13-F,,50,
SM6T27A,,46,
SML-A12P8TT86,,205,
TMM-106-02-L-S,,12,
MMZ1608B471CTAH0,,226,
RC0402JR-070RL,,226,
GRM033R60J104KE19D,,250,
C1005X7R1H104K050BB,,5562,
GRM155R60J475ME47D,,106,
GRM21BR60G107ME15L,,50,
JMK316BBJ107MLHT,,28,
GRM033R60J103KA01D,,10000,
GRM155R60J103KA01D,,9908,
CGB2A1X5R1E105M033BC,,64,
GRM155R60J106ME15D,,24,
GRM033R60J153KE01D,,304,
GRM033R71E151KA01D,,304,
GRM31CR60G227ME11L,,14,
GRM155R71H102KA01D,,442,
1808HC102KAT1A,,1776,
CL03A105KQ3CSNH,,184,
C0402C120J5GACTU,,372,
T491B475K016AT,,39,
ERJ-1GEJ472C,,13280,
ERJ-2RKF10R0X,,8904,
ERJ-2GEJ103X,,2146,
ERJ-1GEF3000C,,14822,
RC0201FR-072K7L,,384,
RC0603FR-071KL,,328,
ERJ-1GEF24R9C,,404,
RC0402FR-0775RL,,380,
ERJ-1GEF1000C,,256,
RC0201FR-07240RL,,404,
ERJ-1GEF6200C,,384,
RC0402FR-0782RL,,116,
ERJ-1GEF4991C,,14048,
ERJ-3GEYJ106V,,4314,
ERJ-2GEJ102X,,9924,
ERJ-1GEF3301C,,282,
RC0402FR-077K5L,,242,
RC1206FR-0710RL,,242,
ERA-2AEB103X,,242,
RC0201FR-0710KL,,156,
ERJ-2RKF1000X,,9000,
RC0201JR-070RL,,160,
EQCO30T5.2,,48,
LT3080EDD#TRPBF,,4,
SN74LVC1T45DCK,,226,
SN74AUP1G17DCKR,,38,
PL133-37TI-R,,6,
TXEAADSANF-25.000000,,26,
FBMH1608HM102-T,,256,
1812PS-223KLC,,6,
BLM15AG601SH1D,,626,
CIM05U601NC,,242,
DF13-3P-1.25DSA(50),,31,
RC0603JR-070RL,,152,
GRM155R6YA105KE11D,,276,
RC0201FR-0775RL,,152,
B59707A0120A062,,12,
ESD9L5.0ST5G,,154,
CL10A106MA8NRNC,,26,
TMK063CG431JT-F,,200,
RC0201FR-07523KL,,200,
GRM033R61E104KE14J,,228,
CL10A105KA5LNNC,,204,
GRM188R61E475KE11D,,76,
RC0201FR-0720KL,,152,
RC0201FR-0722KL,,356,
RC0201FR-07100KL,,180,
RC0201FR-07470RL,,176,
BAT54JFILM,,176,
ESDA25P35-1U1M ,,76,
MM3Z3V9ST1G,,76,
MM3Z5V1ST1G,,202,
MM3Z5V6ST1G,,202,
MFU0603FF04000P100,,76,
"2N7002BKS,115",,52,
MT52L1G32D4PG-107WT:B,,172,
TMK105BJ104KV-F,,6770,
XC7K160T-2FFG676I,,54,
LTM4622IY#PBF,,133,
10M50DAF256I7G,,8,
NEO-7N,,83,
TPD4E001DRLR,,6940,
ERA-2AED242X,,22405,
1000-345F-0357-01A1 ROHS,,10,
LXDC3EP25A-109,,483,
MX66L51235FZ2I-10G,,92,
MX66L51235FZ2I-10G,,92,
LXDC3EP33A-107,,483,
CYUSB3014-BZXI,,22,
LTM4644IY#PBF,,36,
LTM4676AEY#PBF,,19,
ERJ-1GEJ391C,,27111,
NTK3134NT1G,,5703,
RR0306P-101-D,,3972,
1000-281F-0357-01A1,,6,
S25FL256SAGNFI001,,184,
C1608X5R0J475M080AB,,2754,
GRM155R60J106ME15D,,12640,
CGA9P3X7S2A156M250KB,,19,
CRCW12100000Z0EA,,4959,
SQSC248L-185.625MHZ,,80,
ECJ-ZEB0J224M,,12362,
2N7002K-T1-E3,,4648,
1410188-3,,5,
SN74AC14PWR,,1337,
C3225X7S2A475M200AB,,702,
0821-1D1T-43-F,,98,
CRCW08050000Z0EAHP,,4252,
ICS874001AGI-02LF,,46,
ERJ-1GEJ272C,,24975,
SN74LVC1G08DCKR,,838,
ERJ-1GEF4991C,,24540,
LTST-C191KGKT,,6810,
MT25QL01GBBB1EW9,,58,
C3216X5R1A107M160AC,,1199,
ERJ-2GEJ272X,,22836,
C2012X5R1E106K,,1676,
EDFA232A2MA-JD-F-R,,13,
SDL-105-G-10,,175,
0201YC561KAT2A,,7422,
ERJ-1TYJ362U,,3960,
ERJ-1GEJ241C,,21527,
591D227X9016R2T20H,,140,
TPS82084SILT,,236,
C2012X5R1C226K125AC,,1712,
ERJ-1GEJ101C,,20134,
ERJ-3GEYJ106V,,19162,
